Age
30
22
27
19
52
40
24
39
31
32
33
29
37
29
36
36
23
33
17
22
30
29
32
24
22
19
29
37
31
32
47
48
56
38
18
24
19
22
25
35
24
20
28
29
33
29
30
25
21
16
30
24
22
18
34
43
18
30
44
40
40
43
27
19
16
35
35
32
31
38
15
28
18
44
21
26
25
25
21
24
26
38
23
37
21
33
33
33
28
24
31
23
29
22
53
31
27
22
20
21
33
50
24
49
41
37
35
21
64
43
18
35
23
49
52
27
61
18
37
25
25
23
20
22
25
44
46
35
36
30
22
63
50
25
35
37
31
37
29
21
37
32
25
62
38
40
20
51
39
41
41
33
29
50
49
31
33
18
17
19
18
27
47
23
43
26
25
20
57
23
61
18
30
27
25
34
31
24
34
22
38
25
36
55
25
56
31
25
13
38
25
40
22
43
33
21
30
